 ,background,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
background,173043314,149959,884247,137126,282187,138269,96644,234160,302144,597748,66355,519833,230965,108507,199065,1175961,293012,71177,459963,289185,266377
aeroplane,210115,1626329,1486,923,39464,1758,367,16711,0,304,0,943,0,93,9045,4389,0,0,0,11505,381
bicycle,92374,613,646877,0,43,635,0,1747,3,4525,0,0,9,146,51434,13880,209,0,24,318,0
bird,255082,1290,1014,1702574,179,49,44,0,31279,14,8423,27,85878,16310,107,12208,10103,27194,67,43,0
boat,325929,18167,1186,2472,946887,2170,1553,7313,0,15522,265,3195,0,990,2651,12659,1107,0,1542,5045,0
bottle,610176,6943,3210,858,4834,1079402,2878,30112,124,19525,0,21594,5313,33,42130,50648,4929,0,420,32735,5913
bus,433975,11419,12148,0,16375,77,3377254,213701,0,725,0,0,0,0,1745,10101,0,0,0,237704,5528
car,328012,17141,5220,0,33836,279,25395,3107590,0,1917,2,1815,1126,0,54001,4068,0,0,4077,4151,4824
cat,223763,0,578,49178,0,49,0,0,4955366,2591,4959,391,349314,8386,0,65264,100,58316,2661,0,35
chair,821693,90,3187,470,724,738,181,675,2441,810942,134,78183,3412,817,10063,83032,1926,0,290061,463,4961
cow,238108,0,980,22763,7186,0,0,3184,47769,983,1838373,0,211936,484369,4,10360,111,93636,6041,1041,0
diningtable,1331443,0,2059,0,2674,9760,32,744,5104,68106,6092,1321590,55,82,683,44935,15233,2095,5770,351,47942
dog,261161,0,63,10311,0,0,0,530,407279,361,45085,1253,4089847,37877,926,92606,0,76662,10428,0,0
horse,204176,1251,5000,23367,189,0,104,80,36214,1281,177307,0,179572,1892342,1639,56858,3862,51303,7387,5,0
motorbike,267909,2634,46311,83,309,1786,136,166859,0,19881,0,664,204,41,2017888,60371,0,0,323,2041,0
person,1071770,2640,22672,17583,2785,11984,7840,31256,27953,29843,7969,18614,108160,55575,88707,11408644,717,3848,75479,4147,1437
pottedplant,496947,0,8849,1739,47,2074,0,248,241,14744,0,31995,1035,0,429,5621,665490,0,4500,64,539
sheep,195370,0,66,41156,0,64,0,0,48902,1389,110859,0,130818,48861,8,4207,11256,1338720,1129,0,0
sofa,1557525,0,275,8608,3260,13342,3797,17662,8550,265397,420,24496,19082,2112,1218,145038,5059,0,1395746,966,6682
train,685191,7796,1166,0,9585,0,115052,27969,9,6171,11,0,0,4883,17774,3390,0,1388,0,3038177,443
tvmonitor,476626,170,918,0,0,297,8956,382,56,18367,0,0,0,0,0,8489,0,0,92,49,1257352
